,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
257,Lompoc,US,70.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
261,Redmond,US,73.98,clear sky,47.674,-122.1215,Seattle Marriott Redmond
264,Kandi,BJ,74.03,few clouds,11.1342,2.9386,Hébergement de la Poste
265,Yabrud,SY,61.43,clear sky,33.9674,36.6574,صالة افراح الاندلس
266,San Quintin,MX,68.47,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
267,Luangwa,ZM,70.34,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
270,Abohar,IN,78.17,clear sky,30.15,74.1833,OYO 37129 Hotel Piccadily
271,Gardendale,US,67.89,clear sky,33.6601,-86.8128,Microtel Inn & Suites by Wyndham Gardendale
273,Faya,SA,62.71,clear sky,18.3851,42.4509,شيلة نسايم
274,Khalki,GR,64.24,overcast clouds,39.5667,22.5333,Τροχοσπιτο Χαλκη
276,Vila Velha,BR,75.15,moderate rain,-20.3297,-40.2925,Hotel Vitória Palace
277,Makakilo City,US,84.56,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
278,Anamur,TR,75.33,few clouds,36.0751,32.8369,Luna Piena Beach Hotel
283,Port Macquarie,AU,72.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
284,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
286,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
287,Marsh Harbour,BS,81.01,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
288,Aquiraz,BR,79.18,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
289,Oussouye,SN,77.9,moderate rain,12.485,-16.5469,Auberge du Routard
295,Hun,LY,69.82,overcast clouds,29.1268,15.9477,Alrwasi Hotel
297,Puerto Madero,MX,80.46,scattered clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
299,Saint Anthony,US,67.75,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
300,Baculin,PH,78.17,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
302,Carutapera,BR,77.85,clear sky,-1.195,-46.02,Lidera
306,Fare,PF,78.48,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
307,Niquelandia,BR,74.79,overcast clouds,-14.4739,-48.4597,Hotel Suinã
308,Oriximina,BR,78.26,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
309,Gombong,ID,81.7,broken clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
310,Dire,ML,72.61,overcast clouds,12.2833,-10.9667,
311,Bandarbeyla,SO,76.68,scattered clouds,9.4942,50.8122,JABIR HOTEL
312,Gao,ML,89.06,clear sky,16.6362,1.637,
313,Pajapan,MX,71.11,clear sky,18.25,-94.7,Hotel Del Carmen
314,Mecca,SA,79.9,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
315,Carballo,ES,60.22,clear sky,43.213,-8.691,Pazo do Souto
316,Alice Springs,AU,88.21,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
318,Inhambane,MZ,70.97,clear sky,-23.865,35.3833,Oceano
320,Seoul,KR,67.39,broken clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
321,Bushehr,IR,80.69,mist,28.9684,50.8385,Yas Hotel
322,Najran,SA,66.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
323,Mitchell,US,63.73,overcast clouds,43.7094,-98.0298,Kelly Inn & Suites
325,Seminole,US,71.6,overcast clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice
327,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
328,Tatawin,TN,69.22,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
329,Tateyama,JP,82.09,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
330,Ausa,ES,63.28,broken clouds,41.9271,2.2497,Up Rooms Vic Hotel
331,Pouebo,NC,78.13,scattered clouds,-20.4,164.5667,RIVÂT LODGE
332,Kualakapuas,ID,84.51,overcast clouds,-3.0091,114.3876,Guest House Izonk
333,Morondava,MG,70.72,clear sky,-20.2833,44.2833,La Case Bambou
334,Gonaives,HT,79.3,broken clouds,19.45,-72.6833,Vertières Doux Séjour
335,Ullubiyaul,RU,62.37,broken clouds,42.5969,47.7182,
337,Amalapuram,IN,76.42,moderate rain,16.5833,82.0167,swayamprabha service apartments
338,Salalah,OM,75.7,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
339,Zvishavane,ZW,67.44,clear sky,-20.3267,30.0665,Hotel Boutique Runde
340,Ratnagiri,IN,76.86,overcast clouds,16.9833,73.3,Hotel Landmark
341,Burnie,AU,60.93,few clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
342,Matadi,CD,75.51,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
343,Alta Floresta,BR,73.08,heavy intensity rain,-9.8756,-56.0861,Floresta Amazonica Hotel
344,Tezu,IN,75.9,overcast clouds,27.9167,96.1667,Circuit House
345,Pontianak,ID,80.58,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
346,Chase,CA,67.32,clear sky,50.8165,-119.6857,Chase Country Inn Motel
